datetime,day_of_week,day_name,is_weekend,month,month_name,month_abbr,season,day_sin,day_cos
2023-05-25 19:30:00,3,Thursday,0,5,May,May,Spring,-0.7818314824680299,0.6234898018587334
2023-05-26 13:30:00,4,Friday,0,5,May,May,Spring,0.0,1.0
2023-05-26 14:30:00,4,Friday,0,5,May,May,Spring,0.7818314824680298,0.6234898018587336
2023-05-26 15:30:00,4,Friday,0,5,May,May,Spring,0.9749279121818236,-0.2225209339563143
2023-05-26 16:30:00,4,Friday,0,5,May,May,Spring,0.4338837391175582,-0.900968867902419
2023-05-26 17:30:00,4,Friday,0,5,May,May,Spring,-0.433883739117558,-0.9009688679024191
2023-05-26 18:30:00,4,Friday,0,5,May,May,Spring,-0.9749279121818236,-0.2225209339563146
2023-05-26 19:30:00,4,Friday,0,5,May,May,Spring,-0.7818314824680299,0.6234898018587334
2023-05-30 13:30:00,1,Tuesday,0,5,May,May,Spring,0.0,1.0
2023-05-30 14:30:00,1,Tuesday,0,5,May,May,Spring,0.7818314824680298,0.6234898018587336
2023-05-30 15:30:00,1,Tuesday,0,5,May,May,Spring,0.9749279121818236,-0.2225209339563143
2023-05-30 16:30:00,1,Tuesday,0,5,May,May,Spring,0.4338837391175582,-0.900968867902419
2023-05-30 17:30:00,1,Tuesday,0,5,May,May,Spring,-0.433883739117558,-0.9009688679024191
2023-05-30 18:30:00,1,Tuesday,0,5,May,May,Spring,-0.9749279121818236,-0.2225209339563146
2023-05-30 19:30:00,1,Tuesday,0,5,May,May,Spring,-0.7818314824680299,0.6234898018587334
2023-05-31 13:30:00,2,Wednesday,0,5,May,May,Spring,0.0,1.0
2023-05-31 14:30:00,2,Wednesday,0,5,May,May,Spring,0.7818314824680298,0.6234898018587336
2023-05-31 15:30:00,2,Wednesday,0,5,May,May,Spring,0.9749279121818236,-0.2225209339563143
2023-05-31 16:30:00,2,Wednesday,0,5,May,May,Spring,0.4338837391175582,-0.900968867902419
2023-05-31 17:30:00,2,Wednesday,0,5,May,May,Spring,-0.433883739117558,-0.9009688679024191
2023-05-31 18:30:00,2,Wednesday,0,5,May,May,Spring,-0.9749279121818236,-0.2225209339563146
2023-05-31 19:30:00,2,Wednesday,0,5,May,May,Spring,-0.7818314824680299,0.6234898018587334
2023-06-01 13:30:00,3,Thursday,0,6,June,Jun,Summer,0.0,1.0
2023-06-01 14:30:00,3,Thursday,0,6,June,Jun,Summer,0.7818314824680298,0.6234898018587336
2023-06-01 15:30:00,3,Thursday,0,6,June,Jun,Summer,0.9749279121818236,-0.2225209339563143
2023-06-01 16:30:00,3,Thursday,0,6,June,Jun,Summer,0.4338837391175582,-0.900968867902419
2023-06-01 17:30:00,3,Thursday,0,6,June,Jun,Summer,-0.433883739117558,-0.9009688679024191
2023-06-01 18:30:00,3,Thursday,0,6,June,Jun,Summer,-0.9749279121818236,-0.2225209339563146
2023-06-01 19:30:00,3,Thursday,0,6,June,Jun,Summer,-0.7818314824680299,0.6234898018587334
2023-06-02 13:30:00,4,Friday,0,6,June,Jun,Summer,0.0,1.0
2023-06-02 14:30:00,4,Friday,0,6,June,Jun,Summer,0.7818314824680298,0.6234898018587336
2023-06-02 15:30:00,4,Friday,0,6,June,Jun,Summer,0.9749279121818236,-0.2225209339563143
2023-06-02 16:30:00,4,Friday,0,6,June,Jun,Summer,0.4338837391175582,-0.900968867902419
2023-06-02 17:30:00,4,Friday,0,6,June,Jun,Summer,-0.433883739117558,-0.9009688679024191
2023-06-02 18:30:00,4,Friday,0,6,June,Jun,Summer,-0.9749279121818236,-0.2225209339563146
2023-06-02 19:30:00,4,Friday,0,6,June,Jun,Summer,-0.7818314824680299,0.6234898018587334
2023-06-05 13:30:00,0,Monday,0,6,June,Jun,Summer,0.0,1.0
2023-06-05 14:30:00,0,Monday,0,6,June,Jun,Summer,0.7818314824680298,0.6234898018587336
2023-06-05 15:30:00,0,Monday,0,6,June,Jun,Summer,0.9749279121818236,-0.2225209339563143
2023-06-05 16:30:00,0,Monday,0,6,June,Jun,Summer,0.4338837391175582,-0.900968867902419
2023-06-05 17:30:00,0,Monday,0,6,June,Jun,Summer,-0.433883739117558,-0.9009688679024191
2023-06-05 18:30:00,0,Monday,0,6,June,Jun,Summer,-0.9749279121818236,-0.2225209339563146
2023-06-05 19:30:00,0,Monday,0,6,June,Jun,Summer,-0.7818314824680299,0.6234898018587334
2023-06-06 13:30:00,1,Tuesday,0,6,June,Jun,Summer,0.0,1.0
2023-06-06 14:30:00,1,Tuesday,0,6,June,Jun,Summer,0.7818314824680298,0.6234898018587336
2023-06-06 15:30:00,1,Tuesday,0,6,June,Jun,Summer,0.9749279121818236,-0.2225209339563143
2023-06-06 16:30:00,1,Tuesday,0,6,June,Jun,Summer,0.4338837391175582,-0.900968867902419
2023-06-06 17:30:00,1,Tuesday,0,6,June,Jun,Summer,-0.433883739117558,-0.9009688679024191
