datetime,RSI,ATR,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Mid,Bollinger_Lower
2023-05-16 13:30:00,33.77436108340636,2.083642142159598,-0.500351699443172,-0.2870606937026966,171.8398754994241,168.3815612792969,164.9232470591697
2023-05-16 14:30:00,43.85317245933129,2.04649897984096,-0.37511266755061,-0.3046710884722793,171.8203262679284,168.3677764892578,164.9152267105872
2023-05-16 15:30:00,52.00277613889455,1.957098824637277,-0.2846826729836209,-0.3006734053745477,171.7698235721923,168.3342514038086,164.8986792354249
2023-05-16 16:30:00,49.98575160294467,1.924598693847656,-0.2196107893626049,-0.2844608821721591,171.6800605725659,168.2805908203125,164.8811210680591
2023-05-16 17:30:00,46.38874016534025,1.98102787562779,-0.2711857934777981,-0.281805864433287,171.4848522574116,168.133585357666,164.7823184579205
2023-05-16 18:30:00,44.74626861683295,1.963107517787388,-0.2686085633783932,-0.2791664042223083,170.7075487183641,167.9055854797363,165.1036222411085
2023-05-16 19:30:00,43.75020411789065,1.918822152273995,-0.3409073145146806,-0.2915145862807828,169.7440220422183,167.6334350585938,165.5228480749693
2023-05-17 13:30:00,68.24663677579139,2.005243573869978,0.0281676583315118,-0.2275781373583238,170.306654029245,167.7140846252441,165.1215152212433
2023-05-17 14:30:00,72.27604058695323,1.993808201381138,0.429646344020199,-0.09613324108261927,171.5571509495005,167.9764091491699,164.3956673488394
2023-05-17 15:30:00,66.46745934926724,1.937380109514509,0.6938294646933514,0.06185930007257487,172.3427107637195,168.1934089660645,164.0441071684095
2023-05-17 16:30:00,67.28645965359058,1.918809073311942,0.9567288642720371,0.2408332129124673,173.238382609563,168.4739135742188,163.7094445388745
2023-05-17 17:30:00,70.99317118970089,1.889523097446987,1.183821614041932,0.4294308931383603,174.0723741104359,168.7319885253906,163.3916029403454
2023-05-17 18:30:00,77.80834643806374,1.862379891531808,1.35208183039947,0.6139610805905823,174.8312786090356,169.0279632568359,163.2246479046362
2023-05-17 19:30:00,77.04959199250177,1.864522661481585,1.463755333696326,0.7839199312117312,175.4367819713888,169.4075736999512,163.3783654285135
2023-05-18 13:30:00,77.16495568394014,1.860230582101005,1.629097566495403,0.9529554582684656,176.1572724740383,169.8618240356445,163.5663755972508
2023-05-18 14:30:00,74.40301470943476,1.848088945661272,1.729303977652847,1.108225162145342,176.8117033964632,170.2242889404297,163.6368744843962
2023-05-18 15:30:00,72.47224670817036,1.848917279924665,1.748619316332139,1.236303992982701,177.2993073418419,170.5410385131836,163.7827696845253
2023-05-18 16:30:00,74.49499826618266,1.885702950613839,1.801580038633375,1.349359202112836,177.8133865401165,170.926488494873,164.0395904496296
2023-05-18 17:30:00,80.69276861395166,1.834988185337612,1.802679972309988,1.440023356152267,178.0728468543283,171.3659934997559,164.6591401451834
2023-05-18 18:30:00,81.69140613111898,1.844273158482143,1.878748978989421,1.527768480719697,178.4385208149512,171.8522590637207,165.2659973124902
2023-05-18 19:30:00,88.72327538318164,1.841416495186942,1.981527804173595,1.618520345410477,178.9372367358586,172.323258972168,165.7092812084773
2023-05-19 13:30:00,87.90229814728701,1.757137843540737,2.388888934164811,1.772594063161344,180.4378633112667,172.9577690124512,165.4776747136356
2023-05-19 14:30:00,70.69245011686374,1.824993678501674,2.485365533198774,1.91514835716883,181.0755875665378,173.477269744873,165.8789519232083
2023-05-19 15:30:00,74.2451477928488,1.902850559779576,2.550186616554328,2.04215600904593,181.5918594184939,174.0134300231934,166.4350006278928
2023-05-19 16:30:00,75.38701440331954,1.989279610770089,2.684429502926747,2.170610707822093,182.0273592480806,174.6859657287598,167.3445722094389
2023-05-19 17:30:00,70.45425895378543,2.007136753627232,2.695546417930984,2.275597849843872,182.1251024509163,175.2937156677246,168.4623288845329
2023-05-19 18:30:00,69.3950477734175,1.999993460518973,2.657982851328171,2.352074850140732,181.6317288165335,175.9402160644531,170.2487033123727
2023-05-19 19:30:00,71.04615604896857,1.996000017438616,2.651709451070019,2.412001770326589,181.9935726325824,176.3558166503906,170.7180606681989
2023-05-22 13:30:00,75.3360236131294,2.148863656180246,2.918113846924797,2.513224185646231,183.2569571295171,176.8898170471192,170.5226769647212
2023-05-22 14:30:00,78.0839104286301,2.144577026367188,3.230389205709173,2.656657189658819,184.6842810164369,177.5380668640137,170.3918527115905
2023-05-22 15:30:00,78.8895231159621,2.132247924804688,3.414303967514428,2.808186545229941,185.8027550933345,178.1313117980957,170.4598685028569
2023-05-22 16:30:00,78.83465329223436,2.126533508300781,3.573333679980522,2.961215972180057,186.8927993444403,178.7382369995117,170.5836746545831
2023-05-22 17:30:00,81.31617554596136,2.131534031459263,3.770484064421311,3.123069590628308,188.1048318829229,179.4137619018555,170.7226919207881
2023-05-22 18:30:00,81.42712010018387,2.180106026785714,3.987269345956918,3.29590954169403,189.3775248694373,180.1582565307617,170.9389881920862
2023-05-22 19:30:00,80.83763298568745,2.170821053641183,4.126840590613341,3.462095751477893,190.529542066599,180.8530059814453,171.1764698962916
2023-05-23 13:30:00,79.0947781500409,2.267606462751116,4.408750426729171,3.651426686528149,192.0796713756781,181.6921409606934,171.3046105457086
2023-05-23 14:30:00,88.9216754912478,2.210464477539062,4.541670579813939,3.829475465185307,193.1540738123184,182.5323913574219,171.9107089025254
2023-05-23 15:30:00,73.73427508537219,2.266179765973772,4.338781742156328,3.931336720579512,193.4648460370439,183.176441192627,172.8880363482101
2023-05-23 16:30:00,69.6246808005226,2.327600751604353,4.090492405049588,3.963167857473527,193.4844619021643,183.8079406738281,174.131419445492
