datetime,SMA_5,SMA_20,SMA_50,SMA_200,EMA_5,EMA_20,EMA_50,EMA_200
2023-11-29 14:30:00,246.5133209228516,239.1262153625488,237.0725207519531,222.4676681518555,246.7403194198075,240.9516983930215,237.1869740383236,231.4526478615514
2023-11-29 15:30:00,246.8636810302734,239.7507560729981,237.3093209838867,222.4431276702881,246.3502153879446,241.3915373388498,237.5157204416921,231.5931190999859
2023-11-29 16:30:00,247.5740814208984,240.4882263183594,237.6476071166992,222.447843170166,247.2199779832391,242.1122959898001,237.9644962351092,231.7659189415167
2023-11-29 17:30:00,247.9180816650391,241.0757362365723,237.9356069946289,222.4531932067871,247.1833188589433,242.588267858424,238.3231434655108,231.9185963710573
2023-11-29 18:30:00,247.82490234375,241.4961311340332,238.1907070922852,222.458260269165,246.8738808668997,242.9374809083658,238.6341968544247,232.0612472020201
2023-11-29 19:30:00,246.2105041503906,241.7865310668945,238.423157043457,222.451950302124,245.6352554981805,242.9584831800207,238.811601086045,232.1716627001169
2023-11-29 20:30:00,245.9265014648437,242.2845306396484,238.5909588623047,222.4587452697754,245.1401682976152,243.0719603911124,239.0209498237093,232.2908500752051
2023-11-30 14:30:00,244.8226013183594,242.7390357971191,238.7655587768555,222.4631952667236,244.5734463455455,243.1070120149499,239.1942460047954,232.4017869146698
2023-11-30 15:30:00,243.37666015625,242.8840507507324,238.8327645874024,222.5495967102051,243.0090624969653,242.7997056135075,239.2211498791095,232.4761999284522
2023-11-30 16:30:00,242.1616577148438,243.0210502624512,238.9341644287109,222.6500466918945,242.0660392232373,242.5502091432479,239.2587515574104,232.5528545826545
2023-11-30 17:30:00,241.4740356445313,243.1529647827148,239.0348004150391,222.7408211517334,241.2839909518848,242.2806553590509,239.2768355908131,232.6241684117742
2023-11-30 18:30:00,240.6360382080078,243.3187149047852,239.1444006347656,222.8304711914062,240.8426628725456,242.0596412023667,239.3036266152466,232.6971618277154
2023-11-30 19:30:00,239.8320373535156,243.4842147827148,239.2580004882813,222.9332711791992,240.3684413046788,241.8082466277552,239.3081902055877,232.764055721658
2023-11-30 20:30:00,239.8539794921875,243.6942153930664,239.3740005493164,223.0406211853027,240.2422960341739,241.6350808054132,239.3349280600025,232.8359557193845
2023-12-01 14:30:00,238.4689819335937,243.3094657897949,239.3635006713867,223.1063462066651,237.9131989837201,240.8369783365941,239.0964997001126,232.8401253628016
2023-12-01 15:30:00,237.9230041503906,243.030216217041,239.4262008666992,223.21544921875,237.6054678202015,240.4705999705531,239.0138920841539,232.8814177024072
2023-12-01 16:30:00,237.8260040283203,242.8130561828613,239.5276010131836,223.3546247863769,238.2286472479728,240.3757815070257,239.0319749868739,232.9470255471944
2023-12-01 17:30:00,237.7240051269531,242.4881813049316,239.574001159668,223.4867752838135,238.455766052685,240.2361836170337,239.0271917976675,233.0063586627657
2023-12-01 18:30:00,237.3410034179688,242.1224311828613,239.6213009643555,223.6003902435303,238.3288430178708,240.030356315244,238.9898508231802,233.0567928745615
2023-12-01 19:30:00,238.4208435058594,241.7190963745117,239.5909310913086,223.7341112518311,238.4372971193357,239.8992943159127,238.9766882545169,233.1124885208073
2023-12-01 20:30:00,238.7808410644531,241.0970962524414,239.5275329589844,223.8639652252197,238.5548625082681,239.7936465987908,238.9693668832078,233.1689811055369
2023-12-04 14:30:00,238.0458404541016,240.6085960388183,239.4148770141602,223.9833152770996,237.6365760227647,239.4132995943115,238.8450781055038,233.1951604283849
2023-12-04 15:30:00,237.3518402099609,239.9326210021973,239.316676940918,224.1122657775879,236.9043848289786,239.0348903416539,238.7115457265196,233.2174971648329
2023-12-04 16:30:00,237.1708404541016,239.4356208801269,239.2254769897461,224.2213657379151,236.9929226089675,238.8572815633007,238.6510928811245,233.256825533033
2023-12-04 17:30:00,236.7320007324219,238.9458709716797,239.1336172485352,224.3304657745361,236.8152839772674,238.6289696728784,238.5651679333889,233.2886979825936
2023-12-04 18:30:00,236.3980010986328,238.643970489502,239.0513171386719,224.4478662872314,236.9168543572408,238.4852578104316,238.5084944896163,233.3268203421418
2023-12-04 19:30:00,236.4647003173828,238.2431457519531,239.0866870117187,224.5595337677002,236.6557359533298,238.2612807947246,238.4153574172984,233.3547474944141
2023-12-04 20:30:00,236.4886993408203,237.8491455078125,239.1584869384766,224.6778837585449,236.2904898217511,238.0040157246169,238.3033825208786,233.3766902811224
2023-12-05 14:30:00,237.4747009277344,237.9601310729981,239.3526849365234,224.828233795166,238.226995249006,238.3941100464168,238.4522697201977,233.4634894435343
2023-12-05 15:30:00,239.1277008056641,238.1873817443848,239.5636849975586,224.9499272918701,240.3929988671759,238.9970525280452,238.6982593822886,233.5755443356734
2023-12-05 16:30:00,240.3841827392578,238.3715072631836,239.7675430297851,225.08446434021,241.3961341731693,239.4166098858653,238.8827356725971,233.6733240416384
2023-12-05 17:30:00,241.1774841308594,238.378507232666,239.9079592895508,225.2072644042969,240.9640914832848,239.4816952399273,238.9304717679273,233.7372711268312
2023-12-05 18:30:00,241.9096649169922,238.3685523986816,240.0081753540039,225.3148439025879,240.3830281519425,239.4568577398635,238.9418611687638,233.7918346130245
2023-12-05 19:30:00,241.3676635742187,238.3385520935059,240.088779296875,225.4274243927002,240.0520185645112,239.4504902779383,238.9594352166416,233.8475377451303
2023-12-05 20:30:00,240.1686828613281,238.6123069763184,240.1064392089844,225.540924911499,239.6113798893616,239.3818819218549,238.9504417783052,233.8961204793983
2023-12-06 14:30:00,239.8942016601563,238.864306640625,240.2000390625,225.6682749176025,240.4175861860067,239.6340835273255,239.0712087195206,233.9770545918351
2023-12-06 15:30:00,240.9015808105469,239.1474014282227,240.4189770507813,225.808684463501,241.9906914091608,240.1581614633392,239.3090790385774,234.0880978481897
2023-12-06 16:30:00,241.9796203613281,239.4324562072754,240.6242010498047,225.9383894348144,242.8641606871619,240.5822507757035,239.5170013995416,234.1928043297317
2023-12-06 17:30:00,242.584619140625,239.6494560241699,240.7329010009766,226.066837387085,242.7144382201522,240.7567976814586,239.6306481401922,234.2746171551686
2023-12-06 18:30:00,243.1682586669922,239.7991607666016,240.8170669555664,226.2026288604736,242.359058870401,240.8417026804529,239.7097717492395,234.3479871354246
2023-12-06 19:30:00,242.7542602539062,239.8576614379883,240.8746350097656,226.3284043884277,241.559374818223,240.7577316360162,239.7195848851072,234.4038281262549
