datetime,Volume,VWAP,OBV,Cumulative_Return
2024-05-10 18:30:00,4962462,218.8813067574233,31599317189,-0.126811863038906
2024-05-10 19:30:00,4785931,218.8736311267064,31599317188,-0.1303943544686368
2024-05-13 13:30:00,24931464,218.8384542900665,31649180115,-0.09931808053068314
2024-05-13 14:30:00,11007307,218.8222313921,31649180114,-0.1097976674500918
2024-05-13 15:30:00,8172218,218.8100437159604,31649180113,-0.1127916888593415
2024-05-13 16:30:00,6163019,218.8008018514533,31649180112,-0.1142370676407399
2024-05-13 17:30:00,4994879,218.793396816934,31659169869,-0.1115527590036132
2024-05-13 18:30:00,4964265,218.7860016704045,31659169868,-0.1127916888593415
2024-05-13 19:30:00,3675533,218.7805336527054,31666520933,-0.112533568626827
2024-05-14 13:30:00,27073084,218.7438944948115,31720667100,-0.09090495204887605
2024-05-14 14:30:00,18137215,218.7210051064447,31756941529,-0.07634734901778695
2024-05-14 15:30:00,9869506,218.7079633857436,31756941528,-0.08620688025506107
2024-05-14 16:30:00,8365875,218.696710901431,31756941527,-0.09018171128752461
2024-05-14 17:30:00,7387378,218.6868596121426,31771716282,-0.08841417451070832
2024-05-14 18:30:00,6955918,218.6778098340383,31785628117,-0.08321285884581131
2024-05-14 19:30:00,5287905,218.6709345117589,31796203926,-0.0831612663062028
2024-05-15 13:30:00,32366070,218.6243982654518,31796203925,-0.1058744289572368
2024-05-15 14:30:00,12987751,218.6064204447881,31822179426,-0.09745972513070877
2024-05-15 15:30:00,7988120,218.5953856326162,31838155665,-0.09715056372923803
2024-05-15 16:30:00,6262411,218.5868197343224,31850680486,-0.09503456070016525
2024-05-15 17:30:00,5688111,218.5789372029965,31850680485,-0.09805386639218494
2024-05-15 18:30:00,4273147,218.5730053643661,31850680484,-0.09851331568002675
2024-05-15 19:30:00,5311126,218.5655432616271,31850680483,-0.1013323162907879
2024-05-16 13:30:00,19791967,218.5378351543775,31890264416,-0.1006922537306982
2024-05-16 14:30:00,12541396,218.5203537294954,31915347207,-0.0999329375752388
2024-05-16 15:30:00,7114996,218.5106586692521,31929577198,-0.09495665990371793
2024-05-16 16:30:00,5141734,218.5034848016099,31929577197,-0.1003783662950647
2024-05-16 17:30:00,4447139,218.4972994839348,31938471474,-0.09973208112332765
2024-05-16 18:30:00,4285482,218.4914163349891,31947042437,-0.09684077218987863
2024-05-16 19:30:00,3827266,218.4861515057153,31947042436,-0.0973570126549077
2024-05-17 13:30:00,15893921,218.4647693833421,31978830277,-0.09253204684382654
2024-05-17 14:30:00,18257580,218.441429690405,32015345436,-0.08179638764004038
2024-05-17 15:30:00,13519731,218.424751543764,32042384897,-0.07466960689005964
2024-05-17 16:30:00,8607406,218.4135894412419,32042384896,-0.08517447809223821
2024-05-17 17:30:00,7511839,218.4036048618255,32042384895,-0.0905941365354479
2024-05-17 18:30:00,6191770,218.3955634829515,32054768434,-0.08569016718661504
2024-05-17 19:30:00,4355541,218.3899703662375,32063479515,-0.08336771523187214
2024-05-20 13:30:00,22238476,218.3594587716149,32063479514,-0.09797643819915358
2024-05-20 14:30:00,9889840,218.3457847781798,32063479513,-0.09994735197943427
2024-05-20 15:30:00,7828000,218.334901616324,32063479512,-0.101331843687371
2024-05-20 16:30:00,5824040,218.3268371817549,32075127591,-0.1005084897690082
